marca,estabelecimento
mcdonalds,MC DONALDS MRD           
mcdonalds,MC DONALDS IT2           
mcdonalds,MC DONALDS TAD           
mcdonalds,MC DONALDS SSG           
mcdonalds,MCDONALDS CAS            
mcdonalds,MC DONALDS SSH           
mcdonalds,MC DONALDS  LIM          
mcdonalds,MCDONALDS DVH            
mcdonalds,MC DONALDS  UNI          
mcdonalds,MC DONALDS JAP           
mcdonalds,MC DONALDS-BOULEVARD     
mcdonalds,MC DONALDS  VID          
mcdonalds,MC DONALDS TU2           
mcdonalds,MC DONALDS SFL           
mcdonalds,MC DONALDS LDA           
mcdonalds,MC DONALDS S3A           
mcdonalds,MC DONALDS  ABC          
mcdonalds,MC DONALDS PBT           
mcdonalds,MC DONALDS  ETA          
mcdonalds,MC DONALDS PIC           
mcdonalds,MC DONALDS TAG           
mcdonalds,MC DONALDS ACD           
mcdonalds,MC DONALDS TND           
mcdonalds,MCDONALDS  ROD FONSECA   
mcdonalds,MC DONALDS APB           
mcdonalds,MC DONALDS  ZAK          
mcdonalds,MC DONALDS  VIG          
mcdonalds,MC DONALDS PIE           
mcdonalds,MC DONALDS SSL           
mcdonalds,MC DONALDS CRS           
mcdonalds,MCDONALDS 1197  2402950  
mcdonalds,MC DONALDS CRT           
mcdonalds,MC DONALDS  LPA          
mcdonalds,MC DONALDS UBR           
mcdonalds,MC DONALDS APD           
mcdonalds,MC DONALDS  PAV          
mcdonalds,MC DONALDS UBS           
mcdonalds,MC DONALDS SSN           
mcdonalds,MC DONALDS MEN           
mcdonalds,MC DONALDS NSS           
mcdonalds,MCDONALDS FES            
mcdonalds,MC DONALDS  CXD          
mcdonalds,MC DONALDS  SRO          
mcdonalds,MC DONALDS SSP           
mcdonalds,MercPag*MCDONALDSUB2     
mcdonalds,MC DONALDS  PHI          
mcdonalds,MC DONALDS TAQUARA 2     
mcdonalds,MC DONALDS MEQ           
mcdonalds,MC DONALDS TAN           
mcdonalds,MercPag*MCDONALDSUB3     
mcdonalds,MC DONALDS ACL           
mcdonalds,MC DONALDS DTB           
